listing_id,address,city,province,postal_code,neighborhood,subarea,sub_area_community,property_age,property_type,style,sqft,days_on_site,bed,bath,price,strata_fee,primary_agent,primary_broker,title,description,,scrape_date
R2508967,TH104-1327 Bellevue Avenue,West Vancouver,BC,V7T0B9,Ambleside,ambleside-west-vancouver-bc,Ambleside,Built in 2020 (0 yrs old),Townhouse,2 Storey,2002,14,2,3,3695000,1623,Phil Chang PREC*,Rennie & Associates Realty Ltd.,Freehold Strata,"GROSVENOR AMBLESIDE is a collection of 98 unique residences designed with the most discerning of residents in mind by renown James Cheng Architect. Designed for the ultimate West Coast lifestyle.With unparalleled attention to detail and worldclass views, this full-block waterfront development will realize a vision for Ambleside over ten years in the making. Enjoy direct access to Bellevue Avenue & Ambleside Beach, with bedrooms framing ocean views. Each air-conditioned townhome features: World-class chef’s kitchen by Snaidero, Appliances from Sub-Zero, Wolf and Miele, Marble slab in master ensuites, Residents’ lounge, fitness centre, 24-hour concierge, Private 2-car garage & storage, with Millson Technology upgrades including black out roller shades in both bedrooms.",,11/15/2020
R2488032,1801-1515 Homer Mews,Vancouver,BC,V6Z3E8,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 2005 (15 yrs old),Apt/Condo,1 Storey,2185,74,3,4,6188000,1624,Paolo Cartocci PREC*,RE/MAX Masters Realty,Freehold Strata,"Welcome to a very rare and magnificent water front residence at the renowned Kings Landing. Panoramic water views from all 3 bedrooms, floor to ceiling windows, Brazilian Cherry HW Floors, A/C, high-end SSand viking appliances and much more in 2,185 SqFt of luxurious ambiance. Elegant spa-like ensuite bathrooms + a lounging steam shower in the Master's ensuite. 2 private car garage with storage room. Building is known for it's extravagant facilities and concierge, including fabulous guest suites, phenomenal event room, BBQ area and rooftop zen garden, waterfall, movie theater, athlete's gym, mesmerizing indoor pool, sauna, steam, hottub and spa center. Situated in the most private and luxurious area Yaletown. This Water Front Masterpiece is steps away from the city's finest entertainment!",,11/15/2020
R2483318,1302-5111 Brighouse Way,Richmond,BC,V7C0A6,Brighouse,brighouse-richmond-bc,Brighouse,Built in 2013 (7 yrs old),Apt/Condo,2 Storey,2520,83,4,5,3388000,1626,Fred Zhang PREC*,RE/MAX Crest Realty,Freehold Strata,"Welcome to River Green One is built by well-known developer ASPAC Development. Vitual 3D Tour: https://my.matterport.com/show/?m=H14qpDBc7hb Video Tour:https://www.youtube.com/watch?v=ETZ3Iz5GB4I This is a 2520 sqft 2level penthouse unit has two-level high ceiling in living room open to magnificent view of Fraser river and north shore mountain. Floor-to-ceiling windows, 4 bedrooms and 4.5 bathrooms, and Balconies. Double private garage parking and one parking stall. 24-hours concierges. A Private Shuttle Vehicle to T&T supermarket, Oval. Easy access to airport and Vancouver.Very Easy to Show.",,11/15/2020
R2505034,33-1225 Brunette Avenue,Coquitlam,BC,V3K6W2,Maillardville,maillardville-coquitlam-bc,Maillardville,Built in 1992 (28 yrs old),Apt/Condo,"Corner Unit,Upper Unit",633,24,1,1,350000,164,Lex Mazur,RE/MAX Sabre Realty Group,Freehold Strata,"A TOP FLOOR, CORNER UNIT. A very European design, bright, immaculate condo located close to shopping, park and public transit. Private, townhouse style outside entrance, southern exposure. A spacious bedroom with alcove area ideal for a desk/computer station. REAL hardwood flooring, in suite laundry, secure parking and storage. A great investment.",,11/15/2020
R2474610,107-2436 Kelly Avenue,Port Coquitlam,BC,V3C1Y4,Central Port Coquitlam,central-port-coquitlam-bc,Central Port Coquitlam,Built in 2019 (1 yrs old),Apt/Condo,Inside Unit,704,109,1,1,438000,164,Sasha Logan,Sutton Group-West Coast Realty,Freehold Strata,"Amazing location in the heart of Port Coquitlam. Beautiful open concept huge 1 BDRM. Two entrances in the apartment with a nice patio, that gives you a feeling of a Townhouse. Floor to ceiling windows, 10' ceilings, Stainless Steel appliances, quartz counter tops, 12 mm beveled laminate flooring. Wood Shaker cabinets, TJI silent flooring, 1 Parking and Bike Storage. Close to the new Rec Center, Shopping, schools, Westcoast Express, Trails and Gates Park. This home is great for a first time home buyers, downsizer or as an investment. FULL RENTAL ALLOWED. Don't miss this one.",,11/15/2020
R2506784,60-11188 72 Avenue,Delta,BC,V4E0A5,Sunshine Hills Woods,sunshine-hills-woods-delta-bc,Sunshine Hills Woods,Built in 2018 (2 yrs old),Townhouse,3 Storey,1501,20,3,3,699000,165,Sukh Brar PREC*,Royal LePage Global Force Realty,Freehold Strata,"CORNER 3 BED + FLEX with SIDE BY SIDE GARAGE!! NO GST !! The only unit with this floor plan in the complex!! BONUS: Flex room on ground level!! This fabulous location in the desirable Sunshine Hills offers two great school catchments: 4 minute walk up the street to the Heath Elementary and best-ranking SEAQUAM Secondary also close by. Spacious unit offers a family plenty room to grow and enjoy. Open concept on main offers ample daylight thanks to multiple windows, soft wood-tone laminate flooring, dual-color kitchen with a large island, and built-in s/s appliances. 3 good sized bedrooms upstairs including a roomy master featuring a walk-in closet and full ensuite with his and hers sinks. All baths with quartz countertops. Use the lex room according to your needs!",,11/15/2020
R2487360,2701-6461 Telford Avenue,Burnaby,BC,V5H0B7,Metrotown,metrotown-burnaby-bc,Metrotown,Built in 2014 (6 yrs old),Apt/Condo,1 Storey,493,70,1,1,545000,165,Jacqueline Wong PREC*,Royal Pacific Realty Corp.,Freehold Strata,"Metroplace - Best location Burnaby Metrotown project by Intracorp. Steps away to skytrain station, right across Metrotown, bus station and schools. High level unit with magnificent North Shore Mountain view and Downtown water view. This one bedroom layout is functional and great for owner occupied or investment. High rental return. Unit also features open floor plan, laminate flooring throughout, stainless steel appliances, quartz countertop and in-suite laundry. Open House Sept 5th (Sat) 3:30 - 5pm",,11/15/2020
R2478341,306-11703 Fraser Street,Maple Ridge,BC,V2X2L8,East Central Maple Ridge,east-central-maple-ridge-bc,East Central Maple Ridge,Built in 2022 (-2 yrs old),Apt/Condo,1 Storey,646,99,1,1,365900,165,Carla McColeman,Royal LePage - Brookside Realty,Freehold Strata,"5% CREDIT ON COMPLETION! An upscale collection of 1, 2 & 3 bdrm homes in a revitalized downtown core that cultivates growth and breeds opportunity. This home is our A plan, a well thought out 1 bedroom option, priced perfectly for first time buyers and investors. Plant your roots in one of 82 well appointed urban homes. For every mountain vista and short walk to the river, there's a visit to a coffee shop, local merchant, or micro brewpub. Impeccable finishes incl. waterfall stone countertops, modern bathrooms, 9 ft ceilings and attention to detail everywhere you turn. Enjoy the rooftop amenity lounge with gas firepits, BBQ, and landscaping to enjoy the amazing vistas of the Fraser River & Mt Baker. Presentation Centre at 102- 11955 224th Street is open everyday (except Fridays) 12-5pm!",,11/15/2020
R2506903,12-21555 Dewdney Trunk Road,Maple Ridge,BC,V2X3G5,West Central Maple Ridge,west-central-maple-ridge-bc,West Central Maple Ridge,Built in 1970 (50 yrs old),Townhouse,End Unit,500,20,1,1,295000,165,Jennifer DiPietra PREC*,Macdonald Realty,Freehold Strata,"Why Rent? END UNIT RANCHER TOWNHOUSE WITH SINGLE ATTACHED GARAGE UNDER 300K! SUPER AFFORDABLE CORNER UNIT ON THE QUIET SIDE, NOT FACING DEWDNEY TRUNK. This 1 bedroom has Vinyl windows, brand new bright kitchen with new countertops, cupboards & backsplash. Modern grey laminate floors throughout with fresh paint & new light fixtures. Completely redone bathroom & INSUITE laundry. Fully fenced yard with direct access to storage & the enclosed garage. Located just steps away from transit with a bus stop right in front of the strata complex and only minutes away from shopping, amenities, hospital, West Coast Express and Golden Ears Bridge. Low monthly Strata fee & bonus, new asphalt roof being installed in the complex. 3 pets ALLOWED (max 2 dogs).",,11/15/2020
R2481222,28-6868 Burlington Avenue,Burnaby,BC,V5J0G1,Metrotown,metrotown-burnaby-bc,Metrotown,Built in 2014 (6 yrs old),Townhouse,"2 Storey,End Unit",1013,88,2,2,721888,165,Tim Wong,Pacific Evergreen Realty Ltd.,Freehold Strata,"METRO by Mosaic Homes - Conveniently located near to Royal Oak skytrain station, 2 bdrm + 2 bath townhouse in the Metrotown neighbourhood. BBQ on your patio or enjoy the open living/dining layout with your friends. Modern finishes includes quartz countertops in kitchen & baths, Whirlpool stainless steel kitchen appliances, and 9ft ceiling on the main. Steps away Bonsor Community Ctr and Metropolis Metrotown Mall. School catchment: Maywood Elem & Bby South Secondary. Includes 1 parking + 1 storage. Pet and rent friendly.",,11/15/2020
R2506405,6776 Arlington Street,Vancouver,BC,V5S3N9,Killarney,killarney-vancouver-bc,Killarney,Built in 1972 (48 yrs old),Townhouse,"2 Storey w/Bsmt.,Split Entry",1264,22,4,2,789000,165,Van Anh,Royal Pacific Realty Corp.,Freehold Strata,"DREAM STARTER. Rarely Available Family home in desirable Killarney/Champlain Heights area. This 3 level freehold townhome features 4 bdrm +2 bath, has been updated in 2017 for over 60k. This home boasts with Upgrades: new flooring, new clothes washer and dryer, paint, new electrical fixtures, and new bathrooms and many more. Fully finished Basement w/ rec room and bedroom and bathroom is perfect for nanny OR teenager. Your new home also comes with a fully fenced yard and Spacious patio deck perfect for BBQ. Come live in a great complex with LOW strata fees. Short walk to Champlain Square, Central Park, and Metrotown, public transit & schools. Open House:Sun Nov 1st 2-4pm.",,11/15/2020
R2460586,5001-1480 Howe Street,Vancouver,BC,V6Z1R8,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 2020 (0 yrs old),Apt/Condo,"Corner Unit,Upper Unit",2034,150,3,4,3999000,1651,Mona Mirzaie,TRG The Residential Group Realty,Freehold NonStrata,"Welcome to experiencing supreme living at the estate level of the Vancouver House. This award-winning and highly anticipated body of work designed by world-renowned architect Bjarke Ingels is finally complete. Set in one the tallest towers in the city, enjoy breathtaking views of Mt. Baker, and False Creek. With over 2000 sqft of luxury living space, floor to ceiling windows and a wrap around balcony from every room. Feats incl. Miele Pureline apps, engineered pattern wood flooring, marble backsplash. Master bedroom features a custom 5 peice ensuite and a spacious walk-in closet. A private double car garage, state of the art amenities, 24 hour concierge and more!",,11/15/2020
R2509033,PH-1403 Beach Avenue,Vancouver,BC,V6G1Y3,West End,west-end-vancouver-bc,West End,Built in 1992 (28 yrs old),Apt/Condo,Penthouse,2962,14,4,3,5380000,1659,Juliette Zhang (YongHong) PREC*,Macdonald Realty Westmar,Freehold Strata,"Between the borders of mountains and forests rests a city of crystal buildings and satin waters — Vancouver. Within nature’s favourite urban masterpiece, you will find this home privy to all of Vancouver’s scenic sights. Spacious with four luxurious bedrooms, three spacious bathrooms, an exquisite open kitchen and den, all interlocked by an elegant spiral staircase separating the two floors. On your private balcony, enjoy a panoramic view of the blue-satin waters of English Bay and be mesmerized by the glimmering diamonds of light resting on its ripples. A chance to live in Vancouver is rewarding, so why not live in a home that incarnates all the beauty that Vancouver has to offer? Arrange a showing for your ideal home today!",,11/15/2020
R2509867,107-20200 56 Avenue,Langley,BC,V3A8S1,Langley City,langley-city-langley-bc,Langley City,Built in 1998 (22 yrs old),Apt/Condo,"Ground Level Unit,Bachelor/Studio",445,9,1,1,264900,166,Steve York,Dexter Realty,Freehold Strata,"The Bentley-a beautifully renovated, Junior 1 bedroom, 1 bathroom, West facing condo with quiet exposure located at ground level complex with covered patio. An awesome floor plan for it's size due to its square foot print. Den features glass block window. Stacking washer and dryer hidden and tucked away. Features include: New laminate floor throughout. Birch kitchen cabinets, lots of counter space with breakfast bar. New lighting. New paint throughout. This home shows like a brand new apartment, professionally finished. Rentals ARE permitted, Property is VACANT. Strata fees are low and Gas for the fireplace is included in the maintenance fee!",,11/15/2020
R2501179,1106-300 Morrissey Road,Port Moody,BC,N/A,Port Moody Centre,port-moody-centre-port-moody-bc,Port Moody Centre,Built in 2021 (-1 yrs old),Apt/Condo,1 Storey,595,36,1,1,563900,167,Andrew Joblin,Onni Realty Inc,Freehold Strata,"This large 595 sq. ft. one bedroom home features an oversized 120 sq.ft covered balcony. The kitchen is a chefs dream; outfitted with fully integrated European appliances, marble topped breakfast bar with a separate space for formal dining. Stay cool all summer long thanks to the integrated cooling system keeping things comfortable year-round. Built by award-winning Onni Group. With over 40,000 square feet of entertaining and rejuvenating amenities at The Grande, staying close-to-home will be more appealing than ever. Photos are of Presentation Centre, not actual home.",,11/15/2020
R2501061,305-22226 Brown Avenue,Maple Ridge,BC,N/A,West Central Maple Ridge,west-central-maple-ridge-bc,West Central Maple Ridge,Built in 2022 (-2 yrs old),Apt/Condo,"Corner Unit,Upper Unit",840,34,2,2,499900,167,Andrea Hakesley,Sutton Group-West Coast Realty (Surrey/24),Freehold Strata,"Welcome to a new ERA for downtown Maple Ridge. ERA is a master-planned community where approximately 1000 condominiums and city homes will span 3 city blocks, c/w parks, shops, office space and retail. ERA will redefine the heart of Maple Ridge.This collection of one to three bdrm plus den homes feature open versatile plans with the look of European luxury.All homes include A/C (heat pump), 9' ceilings (some 10'), engineered hardwood in main living area, parking & storage. Simple, airy kitchens offer chimney-style hood fans, Italian inspired cabinetry,SS appliances, gas cooktop/convection oven, and premium quartz countertops. Live in Luxury. Phase 1 is located on Dewdney, Plaza and Brown Ave. Presentation Center 22351 Dewdney Trunk Rd - Open Sat-Wed 12pm-5pm Closed Thursday/Fridays.",,11/15/2020
R2452674,3401-1011 W Cordova Street,Vancouver,BC,V6C0B2,Coal Harbour,coal-harbour-vancouver-bc,Coal Harbour,Built in 2010 (10 yrs old),Apt/Condo,"Corner Unit,Upper Unit",2237,183,2,3,7680000,1670,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",Freehold Strata,"This ideally situated 01 corner residence at the Pac Rim has been extensively remodelled with the highest level of luxury and detail. One of the most sophisticated and stylish luxury residence I have listed in this building. Featuring a sensational new kitchen, all new bathrooms and floors throughout with an impeccable choice of quality materials and detail.",,11/15/2020
R2510780,3-9533 Granville Avenue,Richmond,BC,V6Y1P9,Brighouse,brighouse-richmond-bc,Brighouse,Built in 2005 (15 yrs old),Townhouse,3 Storey,1522,7,4,4,888000,168,Bill Wang PREC*,Royal Pacific Realty (Kingsway) Ltd.,Freehold Strata,"Rare find 4 bedroom townhome in well maintained complex of award winning design by Famous Builder-Adera at the heart of Richmond. This bright & open design home features 9' ceilings, granite counters & gourmet kitchen with stainless steel appliances. Three bedrooms and two bathrooms above including a huge master bedroom with ensuite. Main floor offers open kitchen and spacious living room. Laminate floors throughout the main floor. East facing deck overlooking the sport field & school area. Bonus one bedroom & full bathroom on the ground floor. A walking distance to MacNeill High School and Anderson Elementary(French Immersion).",,11/15/2020
R2495180,210-22577 Royal Crescent,Maple Ridge,BC,V2X2M2,East Central Maple Ridge,east-central-maple-ridge-bc,East Central Maple Ridge,Built in 2020 (0 yrs old),Apt/Condo,"1 Storey,5 Plus Level",962,50,2,2,450000,168,Tanya Grubic,Team 3000 Realty Ltd.,Freehold Strata,"MOVE IN READY!INVESTORS AND FIRST TIME BUYERS WELCOME!THE CREST! BRAND NEW & BEST PRICED CONDO IN TOWN. DO NOT MISS THIS GREAT OPPORTUNITY. This condo features 2 BED + 2 FULL BATH, Top Notch Stainless Steel Appliances, Finishing, Quartz Counter Tops, Kitchen, Underground Parking, Storage locker, etc. Central location, Close to Everything YOU NEED & WISH FOR, Restaurants, Coffee Shops, In/Out Door Recreation, Transportation, Schools, Shopping, Banks, etc. Quality Construction and Low Maintenance Fees. OPEN HOUSE SAT/SUN 1-3PM BY APPOINTMENT ONLY.",,11/15/2020
R2476627,402-5415 Brydon Crescent,Langley,BC,V3A4A3,Langley City,langley-city-langley-bc,Langley City,Built in 2020 (0 yrs old),Apt/Condo,1 Storey,754,99,2,1,409900,169,Michelle Boshard PREC*,RE/MAX Treeland Realty,Freehold Strata,"THE AUDLEY! A beautiful west coast style condominium proudly built by REDDALE. This 2 bedroom home feat. Fisher & Paykel fridge,Samsung 5 burner GAS RANGE, frameless glass shower and quartz counters throughout. Dramatic ext. details incl. durable Hardiboard siding and brick. Energy-efficient windows & glass doors. Entertain in style in the stunning landscaped courtyard feat: BBQ area, firepit, seating,children's play area and comm. garden. Over 3,100 sq. ft. of amenities incl: Fully equipped workout facility, yoga/meditation room, exec. boardroom,library/social room, study/quiet room, guest suite, workshop, dog wash and bike storage. Cent. location close to transit & FUTURE SKYTRAIN,shopping, restaurants & recreation. FREE STRATA FEES FOR 1 YEAR. MOVE IN THIS WINTER!",,11/15/2020
R2506320,203-557 E Cordova Street,Vancouver,BC,V6A1L8,Strathcona,strathcona-vancouver-bc,Strathcona,Built in 2015 (5 yrs old),Apt/Condo,"Inside Unit,Upper Unit",569,22,1,1,524999,169,Antony Filippelli,Royal LePage West Real Estate Services,Freehold Strata,"WOW!! Cordovan by Boffo boutique apartments. Airbnb unit rents for $120 night in winter, $250 night summer,close to everything with all the trendy shops/restaurants to offer. This modern 5 year old building with a concrete exterior with steel and glass accents. The wonderful one bedroom and den in a building that allows rentals, 9' ceilings, den could serve as nursery, home office/study or?? The living room has floor to ceiling windows to let in lots of nature light and offers a northen view of the mtns. The kitchen has breakfast bar perfect for a glass of wine before dinner or morning cereal and coffee, tile splash, all the appliances. The front door opens onto a really cool open patio common area courtyard, perfect for bbq's. sun tanning or letting in the cross breeze into the suite.",,11/15/2020
R2504636,2201-1372 Seymour Street,Vancouver,BC,V6B0L1,Downtown West,downtown-west-vancouver-bc,Downtown West,Built in 2013 (7 yrs old),Apt/Condo,End Unit,3127,27,3,4,3988000,1691,Matt Cavelti PREC*,Engel & Volkers Vancouver,Freehold Strata,"Welcome to the Mark! What luxury living looks like. This residence with spectacular views of English Bay and Vancouver House, steps from the exciting and exquisite dining of Yaletown! This sensational suite perched 22 stories above the city boasts approx. 3,200 sqft of living with 3 large ensuited bedrooms & 4 bathrooms. Designer Kitchen, upgraded appliances and perfect for entertainment granite island. The suite boasts state of the art Control 4 system with lutron lightning, automated shades, security & media sound system. Extraordinary extras include 6 parking spaces; 2 private double garages + 2 additional parking stalls. 500 bottle custom wine case with temperature control. Amenities include 24hr concierge, pool, gym, sauna & steam.",,11/15/2020
R2510162,2501-1775 Quebec Street,Vancouver,BC,V5T0E3,Mount Pleasant East,mount-pleasant-east-vancouver-bc,Mount Pleasant East,Built in 2014 (6 yrs old),Apt/Condo,Penthouse,3233,10,3,4,9288000,1695,Haneef Virani PREC*,Virani Real Estate Advisors,Freehold Strata,"Jaw dropping panoramic views of Downtown Vancouver, Science World, False Creek, North Shore Mountains and much more from this truly one of a kind 3 bedroom and den Penthouse residence at Opsal by Bastion! This custom designed 2 strata lot suite was designed by the owner to a very high standard to include Italian cabinetry, custom glass wall treatments, feature gas fireplace, dual eclipse doors and full outdoor kitchen and BBQ. The over 800 square foot master bedroom offers recessed TV, electric curtains, separate work at home space, wet bar and south facing balcony. Other amenities include 5 parking spots (2 Double Garages), high end appliances, custom plumbing and electrical fixtures, HOT TUB, and a total of almost 4,400 sf of combined indoor/outdoor living. This home is incomparable and enjoys the benefit of extreme privacy with no surrounding Highrise buildings!",,11/15/2020
R2510009,30-7811 209 Avenue,Langley,BC,V2Y0P2,Willoughby Heights,willoughby-heights-langley-bc,Willoughby Heights,Built in 2015 (5 yrs old),Townhouse,3 Storey,1054,8,2,2,524900,170,Reece Falk PREC*,RE/MAX Treeland Realty,Freehold Strata,"You'll love coming home to this 2 bed/2 bath award winning townhome in THE EXCHANGE. This sleek modern home boasts designer kitchen w/gas range, quartz counters, s/s appliances, 8ft island with eat up bar, and a custom built nook perfect for dining with tons for friends. There is a plethora of ways to soak up the sun in this home from the floor to ceiling windows and sliding door onto front balcony AND a massive 450sf ROOFTOP DECK w/electricity, gas hookup and stunning views of Mt. Baker. Plus Bonus upgrade in this home includes custom designer wall shelving in dining room! Great walkability with access to coffee shops, restaurants, grocery, schools, park 'n ride, and all amenities. Come view today!",,11/15/2020
R2508328,308-1185 The High Street,Coquitlam,BC,V3B0A9,North Coquitlam,north-coquitlam-bc,North Coquitlam,Built in 2009 (11 yrs old),Apt/Condo,Inside Unit,582,14,1,1,439900,170,Krista Lapp,Keller Williams Elite Realty,Freehold Strata,"Welcome to the CLAREMONT at Westwood Village, built by award-winning BOSA, a local company with a reputation for exceptional QUALITY and enduring value. This BRIGHT North facing one bedroom condo is on the QUIET side of the building and has an open floor plan with spectacular MOUNTAIN VIEWS. The kitchen features a GAS cooktop, electric oven, pull out stainless hood, white stone counters, tile floors and stainless steel appliances. The bathroom features white stone counters, soaker tub, and a rain shower-head. Electric fireplace, a good sized balcony and a functional living space make this the perfect home! Includes one parking and storage. Conveniently located just steps to Coquitlam Centre, Skytrain, Grocery Stores, Lafarge Lake, and Douglas Collage. Rental and Pet friendly.",,11/15/2020
R2508314,101-2968 Birch Street,Vancouver,BC,V6H2T7,Fairview,fairview-vancouver-bc,Fairview,Built in 2020 (0 yrs old),Apt/Condo,1 Storey,1496,15,2,3,3366000,1709,Malcolm Hasman,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",Freehold Strata,"THE LEGACY by Spire Developments is a bespoke collection of 4 Luxury Residences. Exquisitely designed and superbly luxurious each residence has been created to give you a home that exudes exclusivity, provides the utmost in privacy, and captures the essence of the city's most desirable South Granville neighborhood. Experience a truly sophisticated lifestyle in Vancouver’s most exclusive new luxury development conveniently located just steps to the cafes, boutiques, shopping and restaurants",,11/15/2020
R2505247,1163 W 8th Avenue,Vancouver,BC,V6H1C5,Fairview,fairview-vancouver-bc,Fairview,Built in 1976 (44 yrs old),Townhouse,3 Level Split,1154,24,2,1,1049000,171,Ron Garcia,Dexter Realty,Freehold Strata,"Come fall in love with this gorgeous, bright 2 bedroom and den townhome with the second bedroom being open loft space. Over 1100 sq. ft. of city oasis await you with stunning views of False Creek, north shore mountains and city. Open concept living with high ceilings in living areas and vaulted ceilings in den and bedrooms upstairs. New S/S appliances, stone counters, custom concrete fireplace and radiant floors in the bathroom. Sit on the patio and enjoy a morning cup of coffee and in the evenings watch the colourful sunset over the north shore mountains. A 10 minute walk gets you to Granville Island or Charleson dog park and the seawall.",,11/15/2020
R2511998,518-138 E Hastings Street,Vancouver,BC,V6A1N4,Downtown East,downtown-east-vancouver-bc,Downtown East,Built in 2015 (5 yrs old),Apt/Condo,Upper Unit,449,3,1,1,325000,171,Denise Lum PREC*,RE/MAX Select Properties,Freehold Strata,"Cool, Urban, modern, one bedroom unit at SEQUEL 138. Very bright, higher 5th floor, sleek modern feel with 8'10"" high ceilings with partial city views. Fabulous shared common garden with bbq and tables. Central location by Chinatown, Crosstown and Gastown. Close to groceries, cafes, pubs, and restaurants and major transit hubs. Nearby parks and a short walk to Skytrain. Remaining New Home Warranty in effect until 2026. Fabulous live in Caretaker. Parking & storage can be rented. Pets and rentals ok (no short term-Airbnb). Great for investment (rents for $1700). Don't wait!!",,11/15/2020
R2498468,3103-6461 Telford Avenue,Burnaby,BC,V5H0B7,Metrotown,metrotown-burnaby-bc,Metrotown,Built in 2014 (6 yrs old),Apt/Condo,Upper Unit,503,27,1,1,538000,172,Sophie Na,Keller Williams Elite Realty,Freehold Strata,"EXCELLENT location with an AMAZING view! Metroplace, constructed in 2014 by Intracorp with exceptional finishing, quality and workmanship. This 1 bedroom condo with a great open floor plan brings on bright natural light from its SE facing views. Unit features laminate flooring throughout, S/S appliances and in-suite laundry. Also comes with 1 storage & 1 parking. Metroplace offers exercise room, entertainment room, garden and children’s play area. Skytrain, bus and the Metrotown Mall just RIGHT across the street. Walking distance to Crystal Mall, Library, Central Park and many more.",,11/15/2020
R2498535,1001-1633 Ontario Street,Vancouver,BC,V5Y0C2,False Creek,false-creek-vancouver-bc,False Creek,Built in 2009 (11 yrs old),Apt/Condo,1 Storey,2509,44,3,4,6800000,1726,Faith Wilson,Faith Wilson Group,Freehold Strata,"On your private 2,000 sf terrace, the sun sets on the horizon, turning False Creek into liquid gold, City & mountain views taking backstage. In your exquisitely renovated home by Eyco, soft music surrounds & ambient light plays off the hand-picked furnishings that enhance the living space. Take respite in your private sanctuary with dressing room & luxurious ensuite, the day is done. Morning, light is streaming through floor to ceiling windows, hardwood floor complement open concept modern kitchen & expansive island breakfast bar. Hop on your bike, take in the day by water’s edge, reflect on the joy of being. Body spent, time to relax, enjoy, breathe. This rare home perfectly positioned in The Village is all about your lifestyle. Come, and embrace this opportunity, live your best life.",,11/15/2020
R2512625,20-8570 204 Street,Langley,BC,V2Y0T9,Willoughby Heights,willoughby-heights-langley-bc,Willoughby Heights,Built in 2016 (4 yrs old),Townhouse,2 Storey w/Bsmt.,1265,1,2,3,628000,173,Eugene Oh PREC*,Sutton Group - 1st West Realty,Freehold Strata,"Welcome to Woodland Park by Infinity Properties! Located in in the heart of Willoughby area, Carvolth Village, this 2 Bed + Den, 2 Bath Townhouse is the one you need to see. This is your chance to buy an investment property and here we are, to offer this townhouse with tenanted already which you don’t have to look for. This Craftsman - style home bring the great outdoors in rich earthy tones, cedar shingle accents and other woodsy details. Open concept floor plan w/ 9’ ceilings, quartz countertop, with S/S appliance on main. Two beds on above. Great investment with rentals allowed. Don't miss on this great investment opportunity. Call now to book private showing. OPEN HOUSE SATURDAY OCT 31 & SUNDAY NOV 1 2PM - 4PM",,11/15/2020
R2508658,9-7665 209 Street,Langley,BC,V2Y0V2,Willoughby Heights,willoughby-heights-langley-bc,Willoughby Heights,Built in 2016 (4 yrs old),Townhouse,3 Storey,1699,12,3,3,689500,173,John K.S. Ng PREC*,Jovi Realty Inc.,Freehold Strata,"AN IDEALLY SITUATED RESIDENCE IN LANGLEYS' MOST SOUGHT AFTER FAMILY ORIENTED WILLOUGHBY HEIGHTS LOCATED JUST STEPS AWAY FROM SHOPPING AND DINING, COSTCO, 5 MINUTE DRIVE TO RECREATION CENTER, GOLF COURSE, A BLOCK AWAY FROM AN ELEMENTARY SCHOOL. THE LARGE LIVING SPACES OPENS TO THE LARGE KITCHEN WITH ABUNDANT CABINET SPACE AND LARGE CENTER ISLAND. THE MASTER SUITE IS SPACIOUS AND FEATURES A LARGE DOUBLE SHOWER WITH HIS AND HER VANITIES. FINISHES THROUGHOUT THE HOME ARE EXCEPTIONAL AND INCLUDE ENGINEERED HARWOOD, BUILT-IN COFFEE MAKER, BUILT-IN OVEN, QUARTZ COUNTER TOPS, DESIGNER TILES AND MUCH MORE.",,11/15/2020
R2493849,2532 Gordon Avenue,Port Coquitlam,BC,V3C2K4,Central Port Coquitlam,central-port-coquitlam-bc,Central Port Coquitlam,Built in 1978 (42 yrs old),Townhouse,"1 Storey,Ground Level Unit",918,55,2,2,469500,173,Melvyn Tan,Team 3000 Realty Ltd.,Freehold Strata,"Excellent family orientated complex in Central Port Coquitlam. Spacious One level 2 bdrm + 2 bath rm totally well-kept by the owner. Tastefully presented in a ready to move in condition. Ground flr for easy grocery/shopping access. Enjoy the comfort sanctuary of the front sundeck & back enclosed garden patio. Many upgrades in the last few yrs. Dble glazed windows and siding upgraded. New fences will be replaced in Nov. The 4 feet crawl space provides ample storage. This self managed family oriented complex is efficiently run by owner's council to ensure cost are kept low. Seriously, walking distance to everything & all modes of transportation. Elementary, Middle & High schools & Parks are all close by. Truly affordable. View Virtual Tour: https://www.cotala.com/50592",,11/15/2020
R2464335,16-23622 132nd Avenue,Maple Ridge,BC,N/A,Silver Valley,silver-valley-maple-ridge-bc,Silver Valley,Built in 2021 (-1 yrs old),Townhouse,"2 Storey w/Bsmt.,End Unit",1388,139,3,3,574900,173,Jeremy McCarthy PREC*,Royal LePage - Brookside Realty,Freehold Strata,"An executive living experience set in the heart of Silver Valley! This 1388 Sq foot 3 bedroom 2.5 bathroom C Plan is set among 16 stylish and beautifully crafted residences nestled amongst the natural beauty of Silver Valley provide both a connection to nature and the warmth of a family neighborhood life. Only minutes to downtown Maple Ridge’s shops, restaurants and amenities, as well as easy access to the Golden Ear’s and Pitt River Bridges! Enjoy an array of outdoor activities including Rivers, Lakes, Hiking Trails and much more all within a few blocks of your luxury lock and leave residence.",,11/15/2020
